ID,Report,Stress,Happy,Sad,Nervous,Angry,Close,Annoyed,AnnoyedExpressed,partner,NanPercent,scl,nscrs.01,fscrs.01,amp.01,ActCount,BodyTemp,nscrs.02,fscrs.02,amp.02,IBI,BPM,HRV,AllWC,AllAnalytic,AllClout,AllAuthentic,AllTone,AllSixltr,AllDic,AllFunct,AllPronoun,AllPpron,AllI,AllWe,AllYou,AllShehe,AllThey,AllIpron,AllArticle,AllPreps,AllAuxverb,AllAdverb,AllConj,AllNegate,AllVerb,AllAdj,AllCompare,AllInterrog,AllNumber,AllQuant,AllAffect,AllPosemo,AllNegemo,AllAnx,AllAnger,AllSad,AllSocial,AllFamily,AllFriend,AllFemale,AllMale,AllCogproc,AllInsight,AllCause,AllDiscrep,AllTentat,AllCertain,AllDiffer,AllPercept,AllSee,AllHear,AllFeel,AllBio,AllBody,AllHealth,AllSexual,AllIngest,AllDrives,AllAffiliation,AllAchieve,AllPower,AllReward,AllRisk,AllWork,AllLeisure,AllHome,AllMoney,AllRelig,AllDeath,AllInformal,AllSwear,AllNetspeak,AllAssent,AllNonfl,AllFiller,AllIOnly,AllMeOnly,PitchMean,PitchMedian,PitchSD,PitchMin,PitchMax,PitchRange,LoudMean,LoudMedian,LoudSD,LoudMax
102,1,0,30,0,20,0,40,15,1,1,0.907216495,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,0,30,0,0,0,80,0,0,2,0.907216495,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2,6,75,5,10,0,80,10,1,1,0,0,0,0,0,0,0,0,0,0,749.1298778,81.08467407,327.5037185,26,3.62,77.92,17.46,25.77,7.69,100,69.23,23.08,19.23,7.69,0,11.54,0,0,3.85,7.69,11.54,19.23,7.69,7.69,7.69,26.92,3.85,3.85,0,0,7.69,7.69,3.85,3.85,3.85,0,0,11.54,0,0,0,0,11.54,0,3.85,3.85,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,7.69,0,207.6707,206.906,60.7043,97.7341,575.9401,478.206,0.853,0.6849,0.7098,4.921
102,2,0,50,0,0,0,80,0,0,2,0.742268041,0,0,0,0,0,0,0,0,0,961.5160581,63.38056129,341.9212839,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,208.3062,199.276,54.682,96.7671,472.2925,375.5254,0.719,0.6109,0.5463,4.0385
102,3,2,75,10,20,0,80,5,1,1,0,0,0,0,0,0,0,0,0,0,725.9401633,83.45069833,358.67081,275,7.53,38.54,38.66,78.96,4.73,91.27,57.45,21.45,16.73,9.09,1.45,3.27,1.09,1.82,4.73,2.91,9.45,11.64,8.73,6.91,4.73,22.91,2.91,2.55,0.73,1.45,1.82,3.64,3.27,0.36,0,0,0.36,9.45,0,0,0.73,0.36,11.64,2.18,1.82,2.18,1.45,1.45,3.27,1.82,0.73,0,0.73,2.91,0.36,0,0,2.55,5.09,1.82,0.36,0.73,2.18,0.36,0.73,1.09,0,0,0,0,9.45,0,0,3.27,4,2.18,6.55,2.55,301.6593,274.4326,110.7835,112.988,614.9185,501.9305,2.1428,1.8977,1.3454,5.9002
102,3,0,55,0,0,0,80,0,0,2,0.06185567,0,0,0,0,0,0,0,0,0,888.5030267,68.301695,322.8460817,85,39.41,63.81,51.18,3.42,4.71,96.47,47.06,17.65,14.12,5.88,1.18,4.71,1.18,1.18,3.53,2.35,11.76,10.59,5.88,3.53,1.18,27.06,2.35,0,1.18,1.18,1.18,4.71,1.18,3.53,0,2.35,1.18,10.59,0,0,1.18,0,11.76,1.18,0,5.88,3.53,0,3.53,0,0,0,0,2.35,1.18,0,1.18,0,3.53,1.18,0,0,2.35,0,0,1.18,0,0,0,0,23.53,2.35,2.35,11.76,7.06,2.35,6.02,0,257.8641,207.3727,123.8433,95.4466,614.1917,518.7451,2.0111,1.8818,1.1667,5.8146
102,4,3,30,50,20,10,30,30,0,1,0.030927835,1.7085,0,0,0,165.0923,91.208,0,0,0,678.35244,89.38987333,337.106315,84,23.74,45.27,60.65,10.67,13.1,97.62,55.95,19.05,16.67,9.52,0,4.76,2.38,0,2.38,4.76,10.71,10.71,7.14,7.14,2.38,23.81,3.57,0,0,0,3.57,8.33,3.57,4.76,1.19,1.19,0,10.71,0,0,1.19,1.19,15.48,1.19,1.19,4.76,4.76,2.38,3.57,3.57,0,0,1.19,9.52,7.14,2.38,0,2.38,4.76,0,0,3.57,1.19,0,0,0,0,0,0,2.38,5.95,1.19,0,2.38,0,0,7.14,2.38,277.7475,252.9946,92.1898,107.9497,618.3916,510.4419,1.1454,0.8702,0.9563,5.5773
102,4,0,70,0,0,0,80,0,0,2,0.804123711,0,0,0,0,0,0,0,0,0,898.7851917,67.84618333,334.2290317,14,39.41,63.81,51.18,3.42,4.71,96.47,47.06,17.65,14.12,5.88,1.18,4.71,1.18,1.18,3.53,2.35,11.76,10.59,5.88,3.53,1.18,27.06,2.35,0,1.18,1.18,1.18,4.71,1.18,3.53,0,2.35,1.18,10.59,0,0,1.18,0,11.76,1.18,0,5.88,3.53,0,3.53,0,0,0,0,2.35,1.18,0,1.18,0,3.53,1.18,0,0,2.35,0,0,1.18,0,0,0,0,23.53,2.35,2.35,11.76,7.06,2.35,0,0,251.0707,227.655,99.7099,143,545.5087,402.5087,1.224,1.1153,0.7065,3.5704
102,5,4,30,40,15,0,30,10,0,1,0,0.2304,9,0.15,0.0191,165.0368,91.9336,0,0,0,747.2125267,80.73670833,360.8461133,86,4.86,89.95,41.87,95.29,4.65,88.37,54.65,23.26,18.6,5.81,0,10.47,2.33,0,4.65,3.49,6.98,15.12,9.3,3.49,3.49,24.42,2.33,0,5.81,0,1.16,6.98,5.81,1.16,0,0,1.16,15.12,0,0,1.16,1.16,11.63,3.49,2.33,3.49,2.33,1.16,3.49,1.16,1.16,0,0,0,0,0,0,0,6.98,0,0,0,3.49,3.49,0,0,0,0,0,0,8.14,0,0,3.49,3.49,1.16,3.49,2.33,279.0461,261.2513,109.2173,88.9803,610.7222,521.7419,0.9395,0.7568,0.795,5.3232
102,5,0,55,0,0,0,80,0,0,2,0.06185567,0,0,0,0,0,0,0,0,0,885.7455067,68.53849,337.195645,126,14.58,43.69,4.97,3.31,5.56,96.03,56.35,24.6,15.87,5.56,0,2.38,7.94,0,8.73,3.17,11.9,11.9,3.17,4.76,6.35,26.98,1.59,3.17,1.59,0,0.79,2.38,0,2.38,0,0.79,0.79,13.49,0,2.38,2.38,7.94,15.08,2.38,2.38,2.38,3.97,0,4.76,1.59,1.59,0,0,3.17,2.38,0,0,0.79,6.35,0,2.38,1.59,1.59,0.79,0,0,0,0,0,0,13.49,0.79,0,4.76,7.94,0,4.76,0.79,339.5729,320.0454,130.3337,87.1237,614.7806,527.6569,0.7968,0.6488,0.6424,4.7775
